"location_id","sum"
1,1037
2,10
3,44
4,44508
5,7
6,70
7,28525
8,196
9,48
10,3019
11,96
12,7983
13,162260
14,591
15,18
16,54
17,4842
18,192
19,84
20,112
21,95
22,206
23,17
24,49709
25,16373
26,360
27,5
28,979
29,77
30,5
31,93
32,32
33,18439
34,466
35,200
36,3110
37,5588
38,15
39,213
40,9515
41,59835
42,26246
43,248139
45,36810
46,6
47,208
48,516180
49,6330
50,164519
51,79
52,9664
53,115
54,911
55,165
56,517
57,57
58,3
59,6
60,123
61,3762
62,779
63,137
64,55
65,22450
66,7606
67,74
68,384710
69,712
70,2473
71,160
72,142
73,24
74,59298
75,104854
76,402
77,82
78,183
79,498071
80,11329
81,40
82,4426
83,1999
84,3
85,362
86,20
87,128275
88,69375
89,1310
90,309406
91,195
92,782
93,1877
94,86
95,2133
96,39
97,15440
98,43
99,9
100,310781
101,34
102,123
105,15
106,3070
107,388577
108,85
109,10
111,39
112,9970
113,271075
114,242680
115,13
116,19230
117,23
118,87
119,565
120,95
121,118
122,35
123,267
124,158
125,99556
126,168
127,1829
128,93
129,9152
130,1359
131,73
132,417117
133,746
134,722
135,239
136,203
137,202143
138,433627
139,25
140,258455
141,364380
142,466637
143,168139
144,195097
145,17957
146,16380
147,139
148,250431
149,71
150,42
151,139025
152,17101
153,155
154,48
155,75
156,282
157,740
158,209010
159,1000
160,241
161,599926
162,529825
163,431630
164,397708
165,241
166,90722
167,369
168,3047
169,334
170,506477
171,109
172,10
173,528
174,142
175,34
176,4
177,391
178,150
179,9907
180,96
181,19383
182,123
183,17
184,9
185,118
186,545527
187,12
188,1979
189,5407
190,1154
191,111
192,129
193,7813
194,1148
195,900
196,1206
197,588
198,626
199,2
200,119
201,30
202,727
203,45
204,12
205,76
206,9
207,666
208,124
209,33232
210,87
211,138915
212,163
213,285
214,10
215,1095
216,1035
217,1422
218,110
219,908
220,321
221,31
222,23
223,9766
224,47819
225,1952
226,27625
227,201
228,1870
229,304028
230,567400
231,311059
232,33093
233,207773
234,530403
235,326
236,567396
237,623545
238,298790
239,416885
240,61
241,132
242,158
243,3447
244,16512
245,4
246,248347
247,2882
248,184
249,354379
250,155
251,11
252,58
253,45
254,86
255,23942
256,20891
257,654
258,201
259,81
260,9749
261,102899
262,192081
263,282418
264,207924
265,7474
